med_inc,avg_test_score
37743.352,3.289806575
43285.93,4.3870078
48499.301,4.119520615
81368.563,6.891537519
43071.816,4.496981407
42999.398,4.013759749
33999.203,2.79057227
29999,5.107583147
60299.98,3.947613849
40218.707,4.013997504
25999.801,4.415057165
31617.324,3.006443468
55384.078,4.479164237
39611.754,4.47176186
66160.305,5.138791979
47249.551,4.919328981
32499.5,4.516741547
47114.961,5.189150143
36749.652,5.02512885
65504.219,5.68215972
44499.098,4.515500642
34395.672,4.873857309
52634.871,5.644202649
48213.645,4.938565107
34614.461,4.566767662
24422.189,5.04158513
32295.459,3.300438389
35945.758,4.824574866
39090.09,5.36889758
40499.898,4.929440125
42221.777,4.370315961
34061.688,4.967667848
38392.18,5.09749
37570.914,5.845088395
32777.223,4.504158357
35249.953,4.357905451
27726.729,4.749908648
25499.9,4.662837114
31309.262,5.671451486
29999,4.204271754
33499.301,4.332219383
45937.313,5.045785889
67455.383,5.778024264
43881.574,4.774719517
37499.5,4.986402577
27999.4,4.652404594
39624.074,5.371037959
45545.344,4.725048868
42082.918,4.84062672
50384.578,5.039161835
52642.594,5.379780931
44037.652,5.40409612
92044.773,6.207302705
38054.945,4.576395153
43332.672,5.750551342
31454.256,4.040003536
33408.406,5.043104873
50363.602,4.644325097
68832.742,5.028410083
40999.801,5.284961218
51486.336,5.347830042
62549.832,6.344362651
46780.895,6.13160477
75056.055,6.720197388
46928.184,6.15961172
43976.477,5.549912537
49499.102,5.732720222
39499.102,4.505836775
27231.697,3.399451143
47999.402,4.661085583
48999.199,5.163498783
23749.25,5.01262037
31249.75,4.890143802
59999,5.573502398
65866.547,6.179546553
50749.926,5.5737546
60400.738,5.968783044
45199.957,5.135166234
45624.875,5.365452206
37124.574,5.050342137
40882.176,5.390683192
33035.109,5.490947074
43499.301,4.691888965
54999.5,5.872966778
63333.109,4.907972598
61339.195,6.235664218
38213.645,3.504941412
50399.961,4.856080056
44999,5.542263245
41856.77,5.730996583
51166.547,5.593847825
60852.215,6.208821878
31666.33,6.022458404
62624.824,5.739583193
56911.074,4.500657865
60833.277,5.50614095
35555.445,5.440669397
41093.531,5.326590629
53713.914,4.024087816
18460.846,3.326156657
40699.859,5.658409405
28332.666,5.488613172
26922.693,3.125085601
43999.199,5.989941961
37811.938,5.032401482
35972.027,4.073587397
25833.166,3.839112016
51749.824,4.974571112
34526.121,5.236434456
54926.336,5.333841278
33035.105,4.394954199
31312.236,5.324784219
35652.043,4.25533285
59116.734,6.123889508
56138.629,6.325379241
53444.102,5.062029886
31499.701,4.041322319
28124.375,5.121693045
26817.82,3.204420003
33704.293,5.040038876
43749.254,5.157996493
57272.004,5.630628798
41071.215,5.625630162
55124.488,5.450385963
24906.426,5.062164405
50156.234,5.687121116
40249.949,5.319148018
55121.438,6.142224354
50294.09,4.674922472
64970.598,6.517079884
35555.441,5.044560706
64499.699,5.521458214
43624.277,4.453586118
38527.07,4.159989972
40227.227,4.986823399
57999.203,4.922567589
31071.217,4.699077051
45078.109,6.444637727
39849.031,4.088838351
47399.52,4.751589793
34530.344,5.554360745
34641.93,5.610399146
23628.307,3.854591546
41874.625,4.08067501
35357.07,4.32194302
43124.371,5.493442391
34374.125,3.693342696
50599.941,5.101642575
29362.762,4.654084074
38213.645,5.273401171
37135.938,5.098758363
19721.277,3.306832012
22387.914,4.807678148
51166.551,5.407775113
41345.883,5.415878567
34654.242,4.694511205
48332.668,4.521296199
37624.477,4.973651376
54437.055,4.883705818
43144.531,5.816046432
27916.086,4.161437077
59781.629,6.231575946
46817.816,5.041096581
62999.797,5.257911909
51999.801,5.235955767
35899.352,4.299548096
51666.5,4.991827155
58999.102,5.377336363
44599.078,5.76982827
39874.023,4.896517557
62605.09,5.872745045
58999.102,5.23923936
20416.584,2.892661812
56332.699,5.070043206
34249.148,5.035800291
39061.688,5.971201823
23392.178,3.551677788
61374.91,4.582379497
42999.398,4.135547924
29771.771,5.527119406
25892.678,4.368629635
39999,5.808177436
32945.84,5.672816884
28665.934,3.600949858
42117.223,5.2798622
39999,5.169423024
50333.297,6.128389276
24061.686,4.144294468
37953.957,5.765144058
44999,4.757046266
47392.379,4.184358523
53721.852,4.14908507
40535.609,5.201614835
77083.25,5.715907685
41428.285,5.482363725
32999.402,6.314120794
45499.898,4.457432641
35215.473,4.369494558
59249.074,5.725320547
23999.199,3.616496447
58399.16,5.488945227
33067.566,5.599397833
45610.988,5.372529498
56666,5.347628871
71570.656,6.089701958
51249.875,5.28197759
40882.176,5.207436627
55255.887,5.759486403
46214.043,6.39959275
36249.746,5.302121575
44203.703,5.83893677
49999,5.178317505
55334.52,4.709958858
41214.043,5.040389956
54249.578,6.062979545
58686.633,5.471419151
47240.934,5.709261703
38749.246,5.567550958
57272.004,6.403795502
52368.188,5.679392443
47249.551,4.632972969
46908.707,4.784123011
39309.484,5.374387473
28957.541,5.394067159
32291.209,4.587464192
36249.75,6.148201052
45312.438,5.219161019
45583.219,3.411906579
34499.098,3.303208186
33408.406,4.576914606
49044.645,5.230684102
39068.953,4.208062606
45416.586,5.858115785
39999,6.090956416
88507.523,6.83268967
43487.676,4.962462158
60918.305,6.123807414
37940.586,4.602842717
43570.715,3.751899652
59582.375,5.227676866
31249.75,4.250539855
65262.805,5.622595072
43213.645,4.898630609
51833.148,5.313731269
53999.602,5.353577463
48436.813,5.479161971
31428.285,5.23346306
104166.5,4.862844245
115311.89,7.108497211
43199.359,3.575690495
99868.797,6.510679282
51400.828,4.198215608
32236.395,4.148066845
68693.453,5.365569996
51499.852,4.623877751
118533.74,6.793126493
135813.52,7.4442347
26381.303,3.823695315
184523.13,7.744626407
59999,4.020511829
67821.445,4.718179888
85631.32,5.903385279
91920.445,5.544245469
106555.68,6.471113812
34999,3.156035775
78095.117,4.771109392
32082.916,3.352877329
65249.648,4.710382825
57399.262,4.808270892
47499.5,4.4912006
36333.066,4.54819848
